t, ekin, erot, evib_1, evib_2, evib_3, evib_4
8.138138138138138e-06, 1.234245722382486e-19, 1.234388454235058e-19, 5.67328853913818e-20, 1.3612998980769688e-19, 1.6780707699886997e-19, 2.094709572356875e-19
8.148148148148148e-06, 1.2342439759972456e-19, 1.2343858629868443e-19, 5.67325331243082e-20, 1.361291042601224e-19, 1.6780685069839031e-19, 2.094728551141606e-19
8.158158158158159e-06, 1.234242239169557e-19, 1.2343832870779237e-19, 5.673218304076634e-20, 1.3612822267872709e-19, 1.6780662390814291e-19, 2.0947474484300607e-19
8.168168168168168e-06, 1.23424051184085e-19, 1.234380726403312e-19, 5.673183512648386e-20, 1.3612734504712836e-19, 1.6780639663865274e-19, 2.0947662645870935e-19
8.178178178178179e-06, 1.2342387939529665e-19, 1.2343781808588674e-19, 5.673148936728399e-20, 1.3612647134899612e-19, 1.6780616890034608e-19, 2.094784999975811e-19
8.188188188188188e-06, 1.2342370854481515e-19, 1.2343756503412838e-19, 5.673114574908487e-20, 1.3612560156805267e-19, 1.6780594070355135e-19, 2.0948036549575812e-19
8.198198198198198e-06, 1.234235386269064e-19, 1.2343731347480818e-19, 5.6730804257899e-20, 1.361247356880729e-19, 1.6780571205849995e-19, 2.0948222298920425e-19
8.208208208208209e-06, 1.234233696358753e-19, 1.234370633977602e-19, 5.673046487983254e-20, 1.3612387369288414e-19, 1.6780548297532697e-19, 2.0948407251371138e-19
8.218218218218218e-06, 1.234232015660674e-19, 1.2343681479289969e-19, 5.673012760108476e-20, 1.361230155663663e-19, 1.6780525346407206e-19, 2.0948591410490026e-19
8.228228228228229e-06, 1.2342303441186759e-19, 1.2343656765022233e-19, 5.672979240794737e-20, 1.3612216129245166e-19, 1.6780502353468014e-19, 2.0948774779822145e-19
8.23823823823824e-06, 1.2342286816769942e-19, 1.2343632195980354e-19, 5.672945928680398e-20, 1.3612131085512512e-19, 1.6780479319700224e-19, 2.0948957362895627e-19
8.248248248248248e-06, 1.234227028280256e-19, 1.2343607771179771e-19, 5.672912822412939e-20, 1.36120464238424e-19, 1.6780456246079618e-19, 2.0949139163221763e-19
8.258258258258259e-06, 1.2342253838734748e-19, 1.2343583489643746e-19, 5.672879920648909e-20, 1.3611962142643811e-19, 1.678043313357274e-19, 2.0949320184295094e-19
8.268268268268268e-06, 1.2342237484020452e-19, 1.234355935040329e-19, 5.672847222053859e-20, 1.3611878240330975e-19, 1.6780409983136973e-19, 2.0949500429593502e-19
8.278278278278278e-06, 1.2342221218117387e-19, 1.23435353524971e-19, 5.672814725302287e-20, 1.361179471532337e-19, 1.6780386795720603e-19, 2.0949679902578296e-19
8.288288288288289e-06, 1.2342205040487086e-19, 1.2343511494971478e-19, 5.672782429077575e-20, 1.361171156604571e-19, 1.6780363572262907e-19, 2.09498586066943e-19
8.298298298298298e-06, 1.2342188950594737e-19, 1.2343487776880269e-19, 5.672750332071935e-20, 1.361162879092796e-19, 1.6780340313694218e-19, 2.0950036545369943e-19
8.308308308308309e-06, 1.2342172947909273e-19, 1.2343464197284786e-19, 5.672718432986342e-20, 1.361154638840532e-19, 1.6780317020935997e-19, 2.095021372201734e-19
8.318318318318318e-06, 1.2342157031903278e-19, 1.2343440755253749e-19, 5.672686730530487e-20, 1.3611464356918234e-19, 1.6780293694900913e-19, 2.0950390140032384e-19
8.328328328328328e-06, 1.2342141202053026e-19, 1.2343417449863206e-19, 5.672655223422709e-20, 1.3611382694912374e-19, 1.6780270336492912e-19, 2.0950565802794826e-19
8.338338338338339e-06, 1.2342125457838345e-19, 1.234339428019648e-19, 5.672623910389945e-20, 1.3611301400838648e-19, 1.6780246946607277e-19, 2.095074071366836e-19
8.348348348348348e-06, 1.2342109798742664e-19, 1.2343371245344087e-19, 5.672592790167669e-20, 1.3611220473153197e-19, 1.6780223526130718e-19, 2.0950914876000715e-19
8.358358358358359e-06, 1.2342094224253001e-19, 1.2343348344403684e-19, 5.672561861499835e-20, 1.3611139910317385e-19, 1.678020007594143e-19, 2.095108829312373e-19
8.36836836836837e-06, 1.2342078733859818e-19, 1.2343325576479999e-19, 5.672531123138825e-20, 1.3611059710797805e-19, 1.6780176596909162e-19, 2.0951260968353444e-19
8.378378378378378e-06, 1.2342063327057183e-19, 1.234330294068476e-19, 5.672500573845385e-20, 1.361097987306626e-19, 1.6780153089895288e-19, 2.0951432904990172e-19
8.388388388388389e-06, 1.234204800334257e-19, 1.2343280436136643e-19, 5.67247021238858e-20, 1.3610900395599781e-19, 1.6780129555752884e-19, 2.0951604106318595e-19
8.398398398398398e-06, 1.2342032762216908e-19, 1.23432580619612e-19, 5.672440037545729e-20, 1.3610821276880606e-19, 1.6780105995326782e-19, 2.0951774575607838e-19
8.408408408408409e-06, 1.2342017603184522e-19, 1.2343235817290803e-19, 5.672410048102354e-20, 1.361074251539618e-19, 1.6780082409453644e-19, 2.095194431611155e-19
8.41841841841842e-06, 1.2342002525753183e-19, 1.2343213701264574e-19, 5.672380242852126e-20, 1.3610664109639153e-19, 1.678005879896203e-19, 2.0952113331067986e-19
8.428428428428428e-06, 1.234198752943399e-19, 1.2343191713028332e-19, 5.672350620596811e-20, 1.3610586058107378e-19, 1.678003516467246e-19, 2.095228162370009e-19
8.438438438438439e-06, 1.234197261374135e-19, 1.234316985173453e-19, 5.672321180146211e-20, 1.3610508359303897e-19, 1.6780011507397486e-19, 2.0952449197215572e-19
8.448448448448448e-06, 1.2341957778193052e-19, 1.2343148116542197e-19, 5.672291920318118e-20, 1.3610431011736948e-19, 1.677998782794175e-19, 2.0952616054806992e-19
8.458458458458459e-06, 1.234194302231009e-19, 1.234312650661687e-19, 5.672262839938257e-20, 1.361035401391995e-19, 1.6779964127102057e-19, 2.0952782199651827e-19
8.46846846846847e-06, 1.2341928345616778e-19, 1.2343105021130545e-19, 5.67223393784023e-20, 1.3610277364371502e-19, 1.6779940405667427e-19, 2.0952947634912566e-19
8.478478478478478e-06, 1.2341913747640643e-19, 1.2343083659261615e-19, 5.672205212865471e-20, 1.3610201061615377e-19, 1.6779916664419173e-19, 2.0953112363736775e-19
8.488488488488489e-06, 1.2341899227912406e-19, 1.2343062420194815e-19, 5.672176663863183e-20, 1.361012510418052e-19, 1.6779892904130952e-19, 2.0953276389257184e-19
8.4984984984985e-06, 1.2341884785965962e-19, 1.2343041303121163e-19, 5.672148289690297e-20, 1.3610049490601038e-19, 1.6779869125568836e-19, 2.0953439714591752e-19
8.508508508508508e-06, 1.234187042133842e-19, 1.2343020307237901e-19, 5.672120089211413e-20, 1.360997421941619e-19, 1.677984532949137e-19, 2.095360234284376e-19
8.518518518518519e-06, 1.234185613356996e-19, 1.2342999431748445e-19, 5.672092061298753e-20, 1.360989928917039e-19, 1.6779821516649631e-19, 2.0953764277101873e-19
8.528528528528528e-06, 1.2341841922203905e-19, 1.2342978675862322e-19, 5.672064204832106e-20, 1.36098246984132e-19, 1.67797976877873e-19, 2.0953925520440223e-19
8.538538538538539e-06, 1.2341827786786647e-19, 1.2342958038795127e-19, 5.672036518698778e-20, 1.3609750445699313e-19, 1.6779773843640707e-19, 2.095408607591848e-19
8.54854854854855e-06, 1.2341813726867648e-19, 1.234293751976846e-19, 5.672009001793549e-20, 1.3609676529588561e-19, 1.6779749984938903e-19, 2.095424594658193e-19
8.558558558558558e-06, 1.2341799741999416e-19, 1.2342917118009876e-19, 5.671981653018611e-20, 1.3609602948645898e-19, 1.6779726112403715e-19, 2.095440513546155e-19
8.568568568568569e-06, 1.2341785831737417e-19, 1.2342896832752822e-19, 5.671954471283527e-20, 1.3609529701441398e-19, 1.6779702226749807e-19, 2.0954563645574077e-19
8.578578578578578e-06, 1.2341771995640206e-19, 1.2342876663236606e-19, 5.671927455505178e-20, 1.3609456786550242e-19, 1.677967832868474e-19, 2.0954721479922092e-19
8.588588588588589e-06, 1.2341758233269186e-19, 1.2342856608706325e-19, 5.671900604607716e-20, 1.360938420255272e-19, 1.6779654418909021e-19, 2.095487864149408e-19
8.5985985985986e-06, 1.234174454418882e-19, 1.2342836668412822e-19, 5.671873917522512e-20, 1.3609311948034217e-19, 1.6779630498116175e-19, 2.0955035133264506e-19
8.608608608608608e-06, 1.234173092796642e-19, 1.2342816841612635e-19, 5.67184739318811e-20, 1.3609240021585208e-19, 1.6779606566992792e-19, 2.0955190958193895e-19
8.618618618618619e-06, 1.234171738417219e-19, 1.2342797127567948e-19, 5.67182103055018e-20, 1.3609168421801248e-19, 1.6779582626218586e-19, 2.09553461192289e-19
8.628628628628628e-06, 1.2341703912379253e-19, 1.2342777525546533e-19, 5.671794828561466e-20, 1.3609097147282972e-19, 1.6779558676466456e-19, 2.0955500619302367e-19
8.638638638638639e-06, 1.2341690512163579e-19, 1.2342758034821711e-19, 5.671768786181743e-20, 1.3609026196636077e-19, 1.6779534718402531e-19, 2.095565446133341e-19
8.64864864864865e-06, 1.234167718310394e-19, 1.23427386546723e-19, 5.671742902377766e-20, 1.3608955568471318e-19, 1.6779510752686242e-19, 2.0955807648227488e-19
8.658658658658658e-06, 1.2341663924781925e-19, 1.2342719384382558e-19, 5.671717176123227e-20, 1.3608885261404504e-19, 1.6779486779970363e-19, 2.0955960182876465e-19
8.668668668668669e-06, 1.2341650736781948e-19, 1.2342700223242151e-19, 5.671691606398703e-20, 1.3608815274056487e-19, 1.677946280090107e-19, 2.0956112068158684e-19
8.67867867867868e-06, 1.2341637618691163e-19, 1.2342681170546093e-19, 5.671666192191614e-20, 1.3608745605053145e-19, 1.6779438816117997e-19, 2.095626330693904e-19
8.688688688688689e-06, 1.2341624570099456e-19, 1.2342662225594703e-19, 5.671640932496176e-20, 1.3608676253025392e-19, 1.6779414826254288e-19, 2.0956413902069037e-19
8.6986986986987e-06, 1.2341611590599454e-19, 1.234264338769356e-19, 5.671615826313355e-20, 1.3608607216609155e-19, 1.6779390831936651e-19, 2.0956563856386876e-19
8.708708708708708e-06, 1.23415986797865e-19, 1.2342624656153454e-19, 5.67159087265082e-20, 1.3608538494445367e-19, 1.677936683378541e-19, 2.0956713172717502e-19
8.718718718718719e-06, 1.2341585837258598e-19, 1.2342606030290342e-19, 5.671566070522902e-20, 1.3608470085179963e-19, 1.6779342832414558e-19, 2.0956861853872686e-19
8.72872872872873e-06, 1.2341573062616449e-19, 1.2342587509425302e-19, 5.671541418950543e-20, 1.360840198746387e-19, 1.6779318828431808e-19, 2.0957009902651087e-19
8.738738738738739e-06, 1.2341560355463346e-19, 1.2342569092884493e-19, 5.671516916961255e-20, 1.3608334199952996e-19, 1.677929482243865e-19, 2.0957157321838316e-19
8.74874874874875e-06, 1.234154771540524e-19, 1.2342550779999105e-19, 5.671492563589078e-20, 1.360826672130822e-19, 1.6779270815030395e-19, 2.0957304114207012e-19
8.758758758758758e-06, 1.2341535142050702e-19, 1.2342532570105314e-19, 5.671468357874532e-20, 1.3608199550195387e-19, 1.6779246806796227e-19, 2.0957450282516896e-19
8.768768768768769e-06, 1.2341522635010823e-19, 1.2342514462544248e-19, 5.671444298864576e-20, 1.3608132685285296e-19, 1.677922279831926e-19, 2.0957595829514846e-19
8.77877877877878e-06, 1.2341510193899331e-19, 1.2342496456661934e-19, 5.671420385612559e-20, 1.3608066125253687e-19, 1.677919879017658e-19, 2.0957740757934958e-19
8.788788788788788e-06, 1.234149781833245e-19, 1.234247855180926e-19, 5.671396617178185e-20, 1.3607999868781242e-19, 1.67791747829393e-19, 2.0957885070498613e-19
8.798798798798799e-06, 1.234148550792895e-19, 1.2342460747341935e-19, 5.671372992627465e-20, 1.3607933914553562e-19, 1.6779150777172604e-19, 2.0958028769914537e-19
