t, temp, trot, tvib_1, tvib_2, tvib_3, tvib_4
5.6656656656656655e-06, 5964.474409432646, 5968.240443362975, 5978.646407368409, 5979.324513425661, 5960.714095750211, 5926.342671744578
5.675675675675676e-06, 5964.436279854847, 5968.172055998255, 5978.517744842992, 5979.234628323268, 5960.731167353112, 5926.481165868224
5.685685685685686e-06, 5964.398413690155, 5968.104218214424, 5978.389904400083, 5979.145056651213, 5960.747988311067, 5926.619018197536
5.695695695695696e-06, 5964.360808793925, 5968.036924811987, 5978.262880964439, 5979.05579810444, 5960.764560959408, 5926.756232024986
5.705705705705706e-06, 5964.323463041763, 5967.97017064698, 5978.136669487368, 5978.96685236678, 5960.78088761284, 5926.892810623223
5.7157157157157154e-06, 5964.286374329339, 5967.903950630326, 5978.011264946858, 5978.878219111135, 5960.796970566078, 5927.028757245236
5.725725725725726e-06, 5964.24954057214, 5967.8382597272075, 5977.8866623474, 5978.7898979996835, 5960.812812093737, 5927.16407512449
5.735735735735736e-06, 5964.212959705298, 5967.773092956433, 5977.762856719946, 5978.701888684054, 5960.8284144505715, 5927.298767475074
5.745745745745746e-06, 5964.176629683361, 5967.708445389824, 5977.639843121924, 5978.614190805499, 5960.843779871838, 5927.432837491841
5.7557557557557555e-06, 5964.140548480091, 5967.644312151603, 5977.517616637063, 5978.526803995093, 5960.85891057321, 5927.566288350553
5.765765765765766e-06, 5964.104714088257, 5967.580688417787, 5977.396172375408, 5978.439727873904, 5960.873808751141, 5927.699123208024
5.775775775775776e-06, 5964.069124519456, 5967.517569415597, 5977.275505473187, 5978.352962053159, 5960.8884765828825, 5927.831345202239
5.785785785785786e-06, 5964.033777803871, 5967.454950422859, 5977.155611092841, 5978.266506134433, 5960.902916226908, 5927.962957452523
5.795795795795796e-06, 5963.998671990142, 5967.392826767433, 5977.0364844228225, 5978.180359709803, 5960.917129822731, 5928.093963059644
5.805805805805806e-06, 5963.963805145108, 5967.331193826631, 5976.918120677679, 5978.0945223620365, 5960.931119491486, 5928.2243651059825
5.815815815815816e-06, 5963.929175353646, 5967.270047026652, 5976.800515097801, 5978.00899366474, 5960.944887335621, 5928.354166655627
5.825825825825826e-06, 5963.894780718478, 5967.20938184202, 5976.683662949538, 5977.923773182531, 5960.958435439557, 5928.483370754544
5.835835835835836e-06, 5963.860619359988, 5967.1491937950295, 5976.567559524955, 5977.838860471206, 5960.971765869404, 5928.61198043068
5.845845845845846e-06, 5963.826689416024, 5967.089478455198, 5976.452200141935, 5977.754255077885, 5960.984880673587, 5928.739998694112
5.855855855855856e-06, 5963.792989041731, 5967.030231438725, 5976.3375801438915, 5977.66995654119, 5960.997781882464, 5928.867428537162
5.865865865865866e-06, 5963.759516409369, 5966.971448407957, 5976.223694899909, 5977.585964391382, 5961.010471509027, 5928.994272934537
5.875875875875876e-06, 5963.726269708106, 5966.913125070861, 5976.110539804505, 5977.502278150528, 5961.022951548682, 5929.120534843449
5.885885885885886e-06, 5963.693247143892, 5966.855257180498, 5975.9981102776255, 5977.418897332641, 5961.035223979555, 5929.246217203739
5.895895895895896e-06, 5963.660446939237, 5966.797840534513, 5975.886401764531, 5977.335821443847, 5961.04729076259, 5929.371322938007
5.905905905905906e-06, 5963.627867333067, 5966.740870974626, 5975.775409735771, 5977.253049982515, 5961.059153841818, 5929.495854951734
5.915915915915916e-06, 5963.595506580539, 5966.684344386123, 5975.665129687027, 5977.170582439418, 5961.070815144336, 5929.6198161334005
5.925925925925926e-06, 5963.563362952875, 5966.628256697363, 5975.555557139128, 5977.088418297861, 5961.082276580691, 5929.743209354616
5.9359359359359365e-06, 5963.531434737205, 5966.572603879289, 5975.4466876378465, 5977.00655703384, 5961.0935400447115, 5929.866037470232
5.945945945945946e-06, 5963.499720236393, 5966.517381944938, 5975.338516753929, 5976.924998116171, 5961.104607413976, 5929.988303318456
5.955955955955956e-06, 5963.468217768868, 5966.462586948963, 5975.23104008291, 5976.843741006635, 5961.115480549678, 5930.110009720992
5.965965965965966e-06, 5963.436925668476, 5966.40821498716, 5975.1242532451515, 5976.7627851601055, 5961.126161297076, 5930.23115948313
5.975975975975976e-06, 5963.40584228431, 5966.354262196003, 5975.0181518856225, 5976.682130024699, 5961.136651485319, 5930.351755393884
5.985985985985986e-06, 5963.374965980565, 5966.3007247521755, 5974.912731673941, 5976.601775041891, 5961.146952927902, 5930.471800226092
5.995995995995996e-06, 5963.344295136359, 5966.24759887212, 5974.807988304119, 5976.521719646662, 5961.157067422373, 5930.591296736537
6.006006006006006e-06, 5963.313828145612, 5966.194880811581, 5974.703917494729, 5976.4419632676145, 5961.166996751123, 5930.710247666068
6.016016016016016e-06, 5963.283563416866, 5966.142566865165, 5974.600514988486, 5976.362505327105, 5961.176742680698, 5930.828655739688
6.0260260260260265e-06, 5963.253499373131, 5966.090653365892, 5974.497776552493, 5976.283345241382, 5961.186306962757, 5930.946523666693
6.036036036036036e-06, 5963.2236344517805, 5966.039136684769, 5974.395697977938, 5976.204482420692, 5961.195691333692, 5931.063854140768
6.046046046046046e-06, 5963.193967104343, 5965.988013230355, 5974.294275080047, 5976.125916269411, 5961.204897514841, 5931.180649840096
6.056056056056056e-06, 5963.164495796404, 5965.937279448337, 5974.193503698052, 5976.04764618617, 5961.213927212802, 5931.296913427472
6.066066066066066e-06, 5963.135219007431, 5965.886931821109, 5974.093379695022, 5975.969671563966, 5961.222782119337, 5931.412647550402
6.0760760760760765e-06, 5963.1061352306415, 5965.83696686736, 5973.993898957842, 5975.891991790286, 5961.231463911687, 5931.52785484122
6.086086086086086e-06, 5963.077242972888, 5965.787381141663, 5973.895057397049, 5975.814606247221, 5961.23997425254, 5931.642537917185
6.096096096096096e-06, 5963.0485407544675, 5965.738171234066, 5973.7968509468055, 5975.737514311578, 5961.248314790285, 5931.75669938059
6.106106106106106e-06, 5963.020027109029, 5965.689333769697, 5973.699275564826, 5975.660715355008, 5961.256487159225, 5931.870341818868
6.1161161161161166e-06, 5962.991700583407, 5965.640865408371, 5973.6023272321545, 5975.584208744092, 5961.264492979336, 5931.983467804686
6.126126126126126e-06, 5962.963559737512, 5965.59276284419, 5973.506001953191, 5975.507993840476, 5961.272333856741, 5932.096079896053
6.136136136136136e-06, 5962.935603144177, 5965.545022805164, 5973.410295755596, 5975.432070000965, 5961.280011383781, 5932.208180636429
6.146146146146146e-06, 5962.907829389026, 5965.497642052829, 5973.315204690144, 5975.35643657764, 5961.2875271390285, 5932.319772554808
6.156156156156157e-06, 5962.880237070382, 5965.45061738187, 5973.220724830593, 5975.281092917954, 5961.29488268732, 5932.430858165829
6.1661661661661665e-06, 5962.852824799082, 5965.403945619743, 5973.126852273759, 5975.206038364843, 5961.3020795802895, 5932.5414399698775
6.176176176176176e-06, 5962.825591198365, 5965.357623626319, 5973.033583139229, 5975.13127225683, 5961.3091193560085, 5932.6515204531715
6.186186186186186e-06, 5962.798534903793, 5965.311648293507, 5972.94091356934, 5975.056793928122, 5961.3160035392875, 5932.7611020878685
6.196196196196196e-06, 5962.771654563059, 5965.266016544903, 5972.848839729126, 5974.982602708711, 5961.322733641908, 5932.870187332157
6.206206206206207e-06, 5962.744948835905, 5965.220725335436, 5972.757357806165, 5974.908697924481, 5961.329311162577, 5932.978778630354
6.2162162162162164e-06, 5962.718416393999, 5965.175771651012, 5972.666464010522, 5974.835078897296, 5961.335737587155, 5933.086878412999
6.226226226226226e-06, 5962.692055920806, 5965.131152508169, 5972.576154574633, 5974.761744945094, 5961.342014388706, 5933.194489096944
6.236236236236236e-06, 5962.665866111441, 5965.086864953739, 5972.486425753147, 5974.688695381998, 5961.348143027479, 5933.301613085455
6.246246246246247e-06, 5962.639845672614, 5965.042906064503, 5972.3972738230095, 5974.615929518392, 5961.354124951418, 5933.408252768295
6.2562562562562565e-06, 5962.613993322457, 5964.9992729468595, 5972.308695083157, 5974.543446661024, 5961.359961595823, 5933.514410521822
6.266266266266266e-06, 5962.588307790439, 5964.955962736495, 5972.220685854504, 5974.471246113093, 5961.365654383599, 5933.620088709073
6.276276276276276e-06, 5962.562787817248, 5964.912972598059, 5972.133242479954, 5974.399327174339, 5961.371204725674, 5933.725289679866
6.286286286286287e-06, 5962.537432154667, 5964.8702997248365, 5972.046361324053, 5974.3276891411315, 5961.376614020486, 5933.830015770872
6.296296296296297e-06, 5962.512239565464, 5964.827941338432, 5971.960038773198, 5974.256331306564, 5961.381883654816, 5933.934269305721
6.3063063063063065e-06, 5962.487208823302, 5964.785894688457, 5971.874271235274, 5974.185252960527, 5961.387015003267, 5934.038052595074
6.316316316316316e-06, 5962.462338712614, 5964.744157052212, 5971.789055139675, 5974.114453389799, 5961.392009428647, 5934.141367936721
6.326326326326326e-06, 5962.437628028472, 5964.702725734385, 5971.704386937259, 5974.043931878143, 5961.3968682822115, 5934.244217615662
6.336336336336337e-06, 5962.413075576543, 5964.6615980667475, 5971.620263100119, 5973.973687706365, 5961.4015929034285, 5934.3466039042
6.346346346346347e-06, 5962.3886801729195, 5964.620771407849, 5971.536680121611, 5973.903720152419, 5961.406184620399, 5934.448529062012
6.356356356356356e-06, 5962.3644406440435, 5964.580243142724, 5971.4536345161105, 5973.834028491468, 5961.410644749586, 5934.549995336243
6.366366366366366e-06, 5962.340355826624, 5964.540010682598, 5971.371122819108, 5973.764611995976, 5961.4149745964105, 5934.651004961592
6.376376376376377e-06, 5962.3164245674725, 5964.5000714646, 5971.289141586934, 5973.695469935785, 5961.419175454903, 5934.7515601603845
6.386386386386387e-06, 5962.292645723486, 5964.460422951469, 5971.207687396762, 5973.626601578184, 5961.423248608037, 5934.851663142664
6.3963963963963965e-06, 5962.269018161469, 5964.421062631278, 5971.126756846493, 5973.5580061879955, 5961.427195327808, 5934.951316106272
6.406406406406406e-06, 5962.245540758097, 5964.381988017151, 5971.046346554589, 5973.489683027646, 5961.431016875146, 5935.050521236916
6.416416416416416e-06, 5962.222212399763, 5964.343196646989, 5970.966453160089, 5973.421631357233, 5961.434714500273, 5935.149280708277
6.426426426426427e-06, 5962.199031982531, 5964.304686083194, 5970.887073322415, 5973.353850434615, 5961.438289442594, 5935.247596682056
6.436436436436437e-06, 5962.175998412014, 5964.266453912398, 5970.808203721359, 5973.286339515462, 5961.441742930997, 5935.345471308081
6.4464464464464464e-06, 5962.153110603278, 5964.228497745202, 5970.729841056875, 5973.2190978533445, 5961.445076183635, 5935.442906724368
6.456456456456456e-06, 5962.130367480755, 5964.190815215906, 5970.651982049081, 5973.152124699796, 5961.448290408309, 5935.539905057199
6.466466466466467e-06, 5962.107767978166, 5964.153403982251, 5970.574623438134, 5973.0854193043815, 5961.45138680246, 5935.636468421214
6.476476476476477e-06, 5962.0853110383905, 5964.116261725163, 5970.497761984106, 5973.018980914761, 5961.45436655321, 5935.73259891947
6.4864864864864866e-06, 5962.062995613418, 5964.079386148495, 5970.4213944668745, 5972.952808776769, 5961.457230837422, 5935.828298643526
6.496496496496496e-06, 5962.040820664239, 5964.0427749787805, 5970.345517686109, 5972.886902134464, 5961.459980821991, 5935.923569673514
6.506506506506507e-06, 5962.018785160741, 5964.00642596498, 5970.270128461051, 5972.821260230216, 5961.462617663627, 5936.018414078216
6.516516516516517e-06, 5961.996888081667, 5963.970336878235, 5970.195223630564, 5972.755882304747, 5961.465142509302, 5936.112833915141
6.526526526526527e-06, 5961.975128414478, 5963.934505511631, 5970.1208000528795, 5972.6907675972, 5961.46755649597, 5936.206831230587
6.5365365365365365e-06, 5961.953505155294, 5963.898929679953, 5970.046854605621, 5972.625915345222, 5961.469860750923, 5936.30040805973
6.546546546546546e-06, 5961.932017308809, 5963.863607219449, 5969.973384185601, 5972.561324784995, 5961.472056391632, 5936.393566426678
6.556556556556557e-06, 5961.910663888199, 5963.828535987596, 5969.9003857088765, 5972.496995151316, 5961.474144526198, 5936.48630834456
6.566566566566567e-06, 5961.889443915054, 5963.7937138628695, 5969.827856110481, 5972.432925677651, 5961.476126253024, 5936.578635815583
6.576576576576577e-06, 5961.868356419255, 5963.759138744512, 5969.755792344423, 5972.369115596193, 5961.478002661121, 5936.670550831112
6.586586586586586e-06, 5961.847400438979, 5963.724808552309, 5969.684191383576, 5972.305564137927, 5961.479774830153, 5936.7620553717325
6.596596596596597e-06, 5961.826575020502, 5963.690721226365, 5969.6130502196065, 5972.24227053267, 5961.481443830587, 5936.853151407328
6.606606606606607e-06, 5961.8058792182255, 5963.656874726882, 5969.542365862796, 5972.17923400915, 5961.483010723573, 5936.9438408971455
6.616616616616617e-06, 5961.785312094518, 5963.623267033941, 5969.472135341994, 5972.116453795042, 5961.484476561135, 5937.03412578985
6.6266266266266265e-06, 5961.76487271972, 5963.589896147289, 5969.40235570457, 5972.053929117035, 5961.485842386373, 5937.124008023618
6.636636636636637e-06, 5961.744560171969, 5963.55676008612, 5969.33302401627, 5971.991659200883, 5961.487109233425, 5937.2134895261925
6.646646646646647e-06, 5961.72437353721, 5963.523856888867, 5969.2641373611, 5971.929643271448, 5961.488278127471, 5937.302572214936
6.656656656656657e-06, 5961.704311909063, 5963.491184612997, 5969.195692841221, 5971.8678805527725, 5961.489350084828, 5937.391257996919
6.666666666666667e-06, 5961.684374388796, 5963.458741334799, 5969.127687576956, 5971.80637026811, 5961.49032611324, 5937.4795487689735
6.6766766766766765e-06, 5961.664560085198, 5963.426525149184, 5969.060118706574, 5971.745111639991, 5961.491207211678, 5937.567446417758
6.686686686686687e-06, 5961.64486811455, 5963.394534169483, 5968.992983386256, 5971.684103890263, 5961.491994370541, 5937.6549528198275
6.696696696696697e-06, 5961.625297600537, 5963.362766527251, 5968.926278790014, 5971.623346240151, 5961.492688571774, 5937.742069841695
6.706706706706707e-06, 5961.605847674181, 5963.3312203720625, 5968.860002109529, 5971.562837910285, 5961.493290788793, 5937.828799339892
6.716716716716717e-06, 5961.586517473747, 5963.299893871326, 5968.794150554148, 5971.502578120779, 5961.493801986753, 5937.915143161035
6.726726726726727e-06, 5961.567306144719, 5963.268785210087, 5968.728721350706, 5971.4425660912475, 5961.49422312243, 5938.001103141889
6.736736736736737e-06, 5961.548212839689, 5963.237892590838, 5968.663711743473, 5971.382801040873, 5961.494555144388, 5938.086681109425
6.746746746746747e-06, 5961.529236718314, 5963.207214233336, 5968.599118994028, 5971.32328218844, 5961.494798992957, 5938.171878880883
6.756756756756757e-06, 5961.510376947236, 5963.17674837441, 5968.534940381282, 5971.264008752389, 5961.494955600614, 5938.25669826384
6.7667667667667665e-06, 5961.491632700012, 5963.146493267782, 5968.471173201183, 5971.204979950844, 5961.495025891533, 5938.341141056266
6.776776776776777e-06, 5961.473003157066, 5963.116447183883, 5968.407814766821, 5971.146195001682, 5961.495010782158, 5938.425209046582
6.786786786786787e-06, 5961.454487505608, 5963.086608409681, 5968.344862408205, 5971.087653122553, 5961.494911180932, 5938.508904013716
6.796796796796797e-06, 5961.436084939579, 5963.056975248492, 5968.282313472209, 5971.029353530936, 5961.494727988464, 5938.592227727175
6.806806806806807e-06, 5961.417794659562, 5963.027546019816, 5968.220165322529, 5970.971295444172, 5961.494462097729, 5938.675181947093
6.816816816816817e-06, 5961.399615872762, 5962.998319059161, 5968.158415339514, 5970.913478079508, 5961.494114393925, 5938.757768424296
6.826826826826827e-06, 5961.3815477929165, 5962.969292717865, 5968.097060920081, 5970.855900654148, 5961.493685754573, 5938.83998890035
6.836836836836837e-06, 5961.363589640216, 5962.940465362938, 5968.036099477694, 5970.79856238527, 5961.493177049735, 5938.921845107638
6.846846846846847e-06, 5961.345740641284, 5962.911835376887, 5967.97552844224, 5970.741462490087, 5961.49258914202, 5939.003338769394
6.856856856856857e-06, 5961.3280000291, 5962.883401157553, 5967.915345259898, 5970.684600185873, 5961.4919228865165, 5939.084471599775
6.866866866866867e-06, 5961.310367042926, 5962.855161117951, 5967.855547393077, 5970.627974690006, 5961.491179130974, 5939.165245303907
6.876876876876877e-06, 5961.292840928242, 5962.827113686106, 5967.796132320307, 5970.571585220006, 5961.490358715756, 5939.245661577956
6.886886886886887e-06, 5961.27542093674, 5962.799257304889, 5967.737097536206, 5970.515430993566, 5961.48946247411, 5939.325722109164
6.896896896896897e-06, 5961.258106326179, 5962.771590431868, 5967.678440551368, 5970.459511228598, 5961.488491232112, 5939.405428575926
6.906906906906907e-06, 5961.240896360409, 5962.744111539148, 5967.620158892176, 5970.403825143257, 5961.4874458085305, 5939.484782647815
